iter	Passed	Remaining
0	4	4414
1	7	3883
2	11	3749
3	15	3746
4	18	3773
5	22	3651
6	25	3579
7	28	3511
8	32	3533
9	36	3597
10	40	3622
11	43	3572
12	46	3549
13	49	3521
14	53	3501
15	56	3476
16	59	3442
17	63	3443
18	67	3459
19	70	3472
20	74	3467
21	78	3479
22	81	3464
23	84	3439
24	87	3414
25	90	3399
26	94	3402
27	98	3427
28	102	3422
29	105	3412
30	108	3400
31	112	3389
32	115	3372
33	118	3367
34	121	3354
35	125	3350
36	129	3366
37	133	3370
38	136	3359
39	139	3347
40	142	3338
41	145	3327
42	149	3318
43	152	3319
44	155	3308
45	158	3296
46	162	3285
47	166	3292
48	169	3288
49	174	3311
50	178	3319
51	182	3319
52	186	3334
53	190	3338
54	194	3340
55	198	3350
56	202	3344
57	208	3384
58	212	3387
59	216	3385
60	219	3375
61	222	3366
62	226	3370
63	230	3364
64	233	3351
65	237	3355
66	241	3360
67	245	3358
68	248	3348
69	251	3341
70	254	3331
71	257	3324
72	261	3320
73	264	3312
74	267	3302
75	270	3294
76	274	3288
77	277	3284
78	281	3276
79	284	3275
80	288	3272
81	292	3276
82	295	3268
83	299	3263
84	302	3256
85	305	3249
86	308	3242
87	312	3233
88	315	3229
89	320	3236
90	323	3231
91	326	3221
92	329	3213
93	332	3208
94	336	3207
95	339	3200
96	342	3192
97	345	3184
98	349	3177
99	352	3168
100	354	3159
101	357	3151
102	361	3144
103	366	3155
104	370	3158
105	373	3153
106	377	3150
107	381	3148
108	384	3143
109	387	3137
110	390	3131
111	395	3132
112	398	3127
113	401	3121
114	404	3115
115	407	3108
116	411	3103
117	414	3096
118	417	3089
119	420	3083
120	423	3078
121	426	3072
122	429	3064
123	432	3058
124	435	3051
125	439	3046
126	442	3043
127	445	3037
128	449	3032
129	452	3027
130	455	3022
131	458	3018
132	462	3012
133	465	3007
134	468	3000
135	471	2994
136	474	2988
137	477	2982
138	480	2977
139	484	2975
140	488	2973
141	491	2968
142	494	2963
143	497	2957
144	500	2953
145	504	2949
146	507	2947
147	513	2956
148	519	2966
149	525	2980
150	538	3027
151	547	3054
152	562	3116
153	572	3145
154	578	3155
155	588	3184
156	595	3199
157	602	3208
158	609	3221
159	613	3222
160	618	3221
161	622	3221
162	626	3218
163	630	3216
164	636	3220
165	640	3216
166	644	3214
167	649	3215
168	654	3218
169	659	3218
170	664	3220
171	668	3218
172	671	3210
173	674	3204
174	678	3199
175	683	3198
176	687	3195
177	690	3189
178	694	3185
179	699	3185
180	702	3178
181	705	3171
182	708	3163
183	712	3161
184	717	3158
185	720	3152
186	724	3149
187	729	3150
188	732	3143
189	735	3135
190	738	3129
191	743	3127
192	748	3128
193	751	3123
194	758	3132
195	766	3142
196	770	3142
197	777	3149
198	783	3154
199	791	3164
200	795	3163
201	800	3163
202	804	3158
203	808	3154
204	812	3150
205	815	3145
206	820	3142
207	824	3140
208	828	3134
209	831	3126
210	834	3120
211	838	3117
212	843	3117
213	847	3111
214	850	3105
215	855	3104
216	858	3096
217	861	3090
218	864	3083
219	868	3078
220	871	3073
221	875	3069
222	879	3062
223	882	3058
224	886	3054
225	889	3047
226	892	3040
227	895	3033
228	899	3026
229	903	3023
230	906	3018
231	910	3012
232	913	3007
233	916	3001
234	920	2995
235	923	2988
236	926	2982
237	929	2976
238	932	2969
239	935	2963
240	939	2957
241	942	2951
242	945	2946
243	949	2941
244	953	2938
245	956	2933
246	960	2927
247	964	2924
248	968	2920
249	971	2914
250	974	2908
251	978	2903
252	981	2897
253	984	2891
254	987	2885
255	990	2879
256	994	2876
257	997	2870
258	1001	2864
259	1004	2858
260	1007	2853
261	1011	2848
262	1014	2842
263	1017	2837
264	1020	2831
265	1024	2826
266	1027	2820
267	1031	2817
268	1035	2814
269	1039	2810
270	1044	2809
271	1047	2803
272	1051	2799
273	1054	2793
274	1058	2791
275	1063	2788
276	1067	2785
277	1074	2791
278	1079	2790
279	1086	2793
280	1090	2789
281	1095	2788
282	1099	2785
283	1103	2781
284	1107	2778
285	1111	2775
286	1114	2769
287	1118	2765
288	1123	2762
289	1127	2761
290	1132	2759
291	1136	2754
292	1139	2748
293	1142	2743
294	1147	2742
295	1152	2739
296	1156	2738
297	1161	2735
298	1165	2731
299	1169	2727
300	1172	2723
301	1175	2717
302	1178	2711
303	1182	2706
304	1186	2703
305	1190	2699
306	1193	2694
307	1196	2689
308	1200	2683
309	1203	2678
310	1206	2672
311	1209	2667
312	1212	2661
313	1216	2657
314	1220	2653
315	1223	2648
316	1226	2643
317	1231	2640
318	1236	2638
319	1239	2633
320	1242	2628
321	1245	2623
322	1249	2618
323	1252	2612
324	1255	2607
325	1258	2602
326	1262	2597
327	1265	2593
328	1269	2589
329	1272	2584
330	1276	2579
331	1280	2575
332	1283	2571
333	1287	2566
334	1290	2562
335	1294	2557
336	1297	2552
337	1301	2549
338	1305	2545
339	1308	2539
340	1311	2535
341	1314	2529
342	1318	2524
343	1321	2519
344	1324	2514
345	1327	2509
346	1331	2505
347	1334	2500
348	1338	2496
349	1342	2492
350	1345	2487
351	1348	2482
352	1351	2477
353	1355	2472
354	1358	2468
355	1361	2463
356	1365	2459
357	1368	2454
358	1371	2449
359	1375	2445
360	1378	2440
361	1381	2435
362	1385	2430
363	1388	2425
364	1391	2421
365	1394	2416
366	1398	2411
367	1401	2406
368	1404	2402
369	1407	2397
370	1411	2392
371	1414	2387
372	1417	2382
373	1420	2378
374	1424	2374
375	1427	2369
376	1430	2364
377	1433	2359
378	1437	2355
379	1440	2350
380	1444	2346
381	1448	2342
382	1451	2338
383	1454	2333
384	1458	2329
385	1461	2324
386	1464	2319
387	1467	2315
388	1471	2310
389	1474	2305
390	1477	2301
391	1480	2296
392	1483	2291
393	1487	2287
394	1490	2282
395	1493	2277
396	1496	2273
397	1499	2268
398	1503	2264
399	1506	2260
400	1510	2256
401	1513	2251
402	1517	2247
403	1520	2242
404	1523	2238
405	1526	2233
406	1532	2233
407	1536	2228
408	1539	2224
409	1543	2221
410	1546	2216
411	1550	2212
412	1553	2207
413	1556	2202
414	1559	2198
415	1562	2194
416	1566	2189
417	1569	2184
418	1572	2180
419	1575	2175
420	1578	2171
421	1582	2167
422	1585	2162
423	1588	2158
424	1592	2154
425	1595	2149
426	1598	2145
427	1601	2140
428	1605	2136
429	1608	2131
430	1611	2127
431	1614	2122
432	1617	2118
433	1621	2114
434	1624	2109
435	1627	2105
436	1630	2101
437	1634	2097
438	1638	2093
439	1642	2090
440	1645	2085
441	1648	2081
442	1651	2077
443	1655	2072
444	1659	2069
445	1662	2064
446	1665	2061
447	1669	2057
448	1672	2052
449	1676	2048
450	1679	2044
451	1682	2039
452	1685	2035
453	1688	2031
454	1692	2026
455	1695	2022
456	1698	2018
457	1701	2014
458	1705	2009
459	1708	2005
460	1711	2001
461	1715	1997
462	1718	1992
463	1721	1988
464	1724	1984
465	1727	1980
466	1731	1975
467	1734	1971
468	1737	1967
469	1742	1964
470	1745	1960
471	1748	1955
472	1751	1951
473	1755	1947
474	1758	1943
475	1761	1939
476	1764	1934
477	1768	1930
478	1771	1926
479	1774	1922
480	1777	1918
481	1780	1913
482	1784	1910
483	1787	1906
484	1790	1901
485	1794	1897
486	1797	1893
487	1800	1889
488	1803	1885
489	1807	1881
490	1810	1876
491	1814	1873
492	1819	1870
493	1822	1866
494	1825	1862
495	1829	1858
496	1832	1854
497	1835	1850
498	1839	1846
499	1842	1842
500	1845	1838
501	1849	1834
502	1852	1830
503	1855	1825
504	1859	1822
505	1863	1819
506	1867	1815
507	1870	1811
508	1873	1807
509	1876	1803
510	1880	1799
511	1883	1795
512	1887	1791
513	1890	1787
514	1893	1783
515	1896	1779
516	1900	1775
517	1903	1771
518	1906	1767
519	1910	1763
520	1913	1759
521	1916	1755
522	1919	1750
523	1923	1747
524	1926	1743
525	1930	1739
526	1933	1735
527	1937	1732
528	1941	1728
529	1944	1724
530	1947	1720
531	1950	1715
532	1953	1711
533	1957	1707
534	1960	1703
535	1963	1700
536	1967	1696
537	1970	1692
538	1973	1688
539	1976	1684
540	1980	1680
541	1983	1676
542	1986	1672
543	1989	1668
544	1993	1663
545	1996	1660
546	2001	1657
547	2005	1654
548	2009	1650
549	2013	1647
550	2016	1643
551	2019	1639
552	2023	1635
553	2027	1632
554	2031	1628
555	2035	1625
556	2041	1623
557	2046	1621
558	2050	1617
559	2054	1614
560	2058	1611
561	2062	1607
562	2065	1603
563	2069	1599
564	2073	1596
565	2077	1593
566	2081	1589
567	2085	1586
568	2089	1582
569	2093	1579
570	2096	1575
571	2102	1573
572	2106	1570
573	2110	1566
574	2113	1562
575	2117	1558
576	2120	1554
577	2124	1550
578	2127	1547
579	2134	1545
580	2137	1541
581	2140	1537
582	2144	1533
583	2147	1529
584	2151	1526
585	2154	1521
586	2157	1518
587	2160	1513
588	2164	1510
589	2168	1507
590	2172	1503
591	2175	1499
592	2179	1495
593	2182	1491
594	2185	1487
595	2189	1484
596	2192	1480
597	2195	1476
598	2199	1472
599	2202	1468
600	2205	1464
601	2209	1460
602	2212	1456
603	2216	1452
604	2219	1449
605	2222	1445
606	2225	1441
607	2229	1437
608	2232	1433
609	2235	1429
610	2239	1425
611	2242	1421
